 Property name,Report Section,Data type,Data count,Care level
Bellingham,Capacity,Resident Capacity,24,Cottage
Bellingham,Capacity,Resident Capacity,46,Manor
Bellingham,Census,Census,24,Cottage
Bellingham,Census,Census,46,Manor
Bellingham,Statistics,WTD Deposits,1,Manor
Billings,Capacity,Resident Capacity,31,Cottage
Billings,Capacity,Resident Capacity,67,Manor
Billings,Census,Census,29,Cottage
Billings,Census,Census,58,Manor
Billings,MoveOuts,Deceased,1,Cottage
Billings,Statistics,WTD Move-Ins,1,Cottage
Billings,Statistics,WTD Move-Outs,1,Cottage
Billings,Statistics,YTD Move-Ins,1,Cottage
Billings,Statistics,YTD Move-Outs,1,Cottage
Billings,Statistics,WTD Move-Ins,2,Manor
Billings,Statistics,YTD Move-Ins,2,Manor
Billings,Statistics,YTD Move-Outs,1,Manor
Bozeman,Capacity,Resident Capacity,12,Chalet
Bozeman,Capacity,Resident Capacity,24,Cottage
Bozeman,Capacity,Resident Capacity,73,Manor
Bozeman,Capacity,Resident Capacity,10,Villa
Bozeman,Census,Census,21,Cottage
Bozeman,Census,Census,61,Manor
Bozeman,Census,Census,9,Villa
Bozeman,Statistics,YTD Move-Outs,1,Cottage
Bozeman,Statistics,WTD Move-Ins,1,Manor
Bozeman,Statistics,YTD Move-Ins,1,Manor
Flagstaff,Capacity,Resident Capacity,32,Cottage
Flagstaff,Capacity,Resident Capacity,60,Manor
Flagstaff,Census,Census,4,Cottage
Flagstaff,Census,Census,20,Manor
Flagstaff,Statistics,WTD Deposits,1,Manor
Flagstaff,Statistics,WTD Move-Ins,2,Manor
Flagstaff,Statistics,YTD Move-Ins,5,Manor
Great Falls,Capacity,Resident Capacity,22,Cottage
Great Falls,Capacity,Resident Capacity,34,Manor
Great Falls,Census,Census,21,Cottage
Great Falls,Census,Census,33,Manor
Great Falls,MoveOuts,Deceased,1,Cottage
Great Falls,Statistics,WTD Move-Outs,1,Cottage
Great Falls,Statistics,YTD Move-Outs,1,Cottage
Great Falls,Statistics,YTD Move-Ins,3,Manor
Prescott,Capacity,Resident Capacity,24,Cottage
Prescott,Capacity,Resident Capacity,63,Manor
Prescott,Census,Census,27,Cottage
Prescott,Census,Census,47,Manor
Prescott,MoveOuts,Deceased,1,Manor
Prescott,Statistics,WTD Move-Outs,1,Manor
Prescott,Statistics,YTD Move-Ins,1,Manor
Prescott,Statistics,YTD Move-Outs,3,Manor
Temecula,Capacity,Resident Capacity,36,Cottage
Temecula,Capacity,Resident Capacity,52,Manor
Temecula,Census,Census,37,Cottage
Temecula,Census,Census,51,Manor
Temecula,MoveOuts,Competition,1,Cottage
Temecula,MoveOuts,Deceased,1,Cottage
Temecula,Statistics,WTD Move-Outs,2,Cottage
Temecula,Statistics,YTD Move-Outs,1,Cottage
Temecula,Statistics,WTD Move-Ins,1,Manor
Temecula,Statistics,YTD Move-Ins,1,Manor
Vancouver,Capacity,Resident Capacity,23,Cottage
Vancouver,Capacity,Resident Capacity,33,Manor
Vancouver,Capacity,Resident Capacity,8,Villa
Vancouver,Census,Census,20,Cottage
Vancouver,Census,Census,33,Manor
Vancouver,Census,Census,8,Villa
Wenatchee,Capacity,Resident Capacity,0,Chalet
Wenatchee,Capacity,Resident Capacity,16,Cottage
Wenatchee,Capacity,Resident Capacity,43,Manor
Wenatchee,Census,Census,15,Cottage
Wenatchee,Census,Census,42,Manor
Wenatchee,Statistics,WTD Move-Ins,1,Manor
Wenatchee,Statistics,YTD Move-Ins,1,Manor
Wenatchee,Statistics,YTD Move-Outs,1,Manor
Yakima,Capacity,Resident Capacity,22,Cottage
Yakima,Capacity,Resident Capacity,34,Manor
Yakima,Census,Census,23,Cottage
Yakima,Census,Census,33,Manor
